PPTNO,CONDITION,EVENT_TYPE,COUNT,DURATION_(SEC),RATE_(HGs/MIN)
10,AO,mnd,1,127.66699999999992,0.4699726632567542
10,AO,nd,1,127.66699999999992,0.4699726632567542
10,AO,sh,1,127.66699999999992,0.4699726632567542
10,AO,total,3,127.66699999999992,1.4099179897702625
10,AV,mnd,3,400.128,0.4498560460652591
10,AV,nd,5,400.128,0.7497600767754319
10,AV,sh,2,400.128,0.29990403071017274
10,AV,total,10,400.128,1.4995201535508638
11,AO,mnd,10,267.80600000000004,2.2404277723426658
11,AO,nd,9,267.80600000000004,2.016384995108399
11,AO,sh,0,0.0,0.0
11,AO,total,19,267.80600000000004,4.256812767451065
11,AV,mnd,16,570.8,1.6818500350385426
11,AV,nd,12,570.8,1.261387526278907
11,AV,sh,1,570.8,0.10511562718990891
11,AV,total,29,570.8,3.0483531885073587
18,AO,mnd,5,839.25,0.3574620196604111
18,AO,nd,11,839.25,0.7864164432529044
18,AO,sh,1,839.25,0.07149240393208221
18,AO,total,17,839.25,1.2153708668453975
18,AV,mnd,6,1163.008,0.30954215276249175
18,AV,nd,15,1163.008,0.7738553819062294
18,AV,sh,2,1163.008,0.10318071758749725
18,AV,total,23,1163.008,1.1865782522562183
19,AO,mnd,20,846.1640000000002,1.4181648002042153
19,AO,nd,0,0.0,0.0
19,AO,sh,0,0.0,0.0
19,AO,total,20,846.1640000000002,1.4181648002042153
19,AV,mnd,23,1171.237,1.178241466073903
19,AV,nd,0,0.0,0.0
19,AV,sh,0,0.0,0.0
19,AV,total,23,1171.237,1.178241466073903
24,AO,mnd,0,0.0,0.0
24,AO,nd,0,0.0,0.0
24,AO,sh,0,0.0,0.0
24,AO,total,0,0.0,0.0
24,AV,mnd,6,311.5340000000001,1.1555721044893972
24,AV,nd,0,0.0,0.0
24,AV,sh,0,0.0,0.0
24,AV,total,6,311.5340000000001,1.1555721044893972
25,AO,mnd,23,1105.384,1.2484349330187519
25,AO,nd,9,1105.384,0.48851801726820726
25,AO,sh,3,1105.384,0.1628393390894024
25,AO,total,35,1105.384,1.8997922893763615
25,AV,mnd,12,393.85400000000027,1.8280885810477983
25,AV,nd,2,393.85400000000027,0.30468143017463306
25,AV,sh,0,0.0,0.0
25,AV,total,14,393.85400000000027,2.1327700112224313
